ObjectID,GlobalID,username,Tree Species,treecal,Native or Non-Native,typecal,Coniferous or Deciduous,fruitcal,Produced fruit?,Tree Health Answer,Tree Flag Answer,Deadwood Percentage,Height Calculation,Crown Spread Measurement,Please input your dbh calculation:,Comments,CreationDate,Creator,EditDate,Editor,x,y
81,d87709b6-122c-4a05-a5d8-a40be92ee87b,lmarkari@flemingcollege.ca_Fleming,(Picea abies),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,3,trim,20,27,7,0.226,,11/1/2023 9:12:54 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:29:28 PM,aherstek@flemingcollege.ca_Fleming,-73.6253328004615,45.5371110277205
82,1eabd697-0d30-4616-9cbe-2d3eb6cfbb2f,lmarkari@flemingcollege.ca_Fleming,(Pinus nigra),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,3,clr,20,17,7,0.4775,,11/1/2023 9:17:58 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:29:16 PM,aherstek@flemingcollege.ca_Fleming,-73.6254052842752,45.5368995831129
83,983d1923-fef9-42c5-b04e-56a9e548371f,lmarkari@flemingcollege.ca_Fleming,(Ulmus thomasii),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,27,14,0.6175,,11/1/2023 9:22:27 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:29:05 PM,aherstek@flemingcollege.ca_Fleming,-73.6254520428186,45.5369542522963
84,11a1fbf5-1cf5-48b2-a2d9-68f3ed9c7e36,lmarkari@flemingcollege.ca_Fleming,(Acer platanoides),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,,28,15,0.6684,,11/1/2023 9:26:35 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:28:50 PM,aherstek@flemingcollege.ca_Fleming,-73.6255157132905,45.5367789314946
85,d1ee1284-3d2f-4984-b491-bb22dfe2acc7,lmarkari@flemingcollege.ca_Fleming,(Picea glauca),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,2,trim,40,14,11,0.3819,,11/1/2023 9:29:39 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 5:00:37 PM,aherstek@flemingcollege.ca_Fleming,-73.6260267338916,45.5368360600147
86,cd004cf4-1cff-4528-a77d-8a38972d05d8,lmarkari@flemingcollege.ca_Fleming,(Abies concolor),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,25,7,0.3119,,11/1/2023 9:35:08 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:28:26 PM,aherstek@flemingcollege.ca_Fleming,-73.6264243137096,45.5368020762603
87,2dce7619-4532-4cff-b9cb-cd349cd9913e,lmarkari@flemingcollege.ca_Fleming,(Acer saccharum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,clr,20,24,9,0.4138,,11/1/2023 9:38:43 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:28:14 PM,aherstek@flemingcollege.ca_Fleming,-73.6262746474123,45.53659555998
88,b7e04f24-2af3-41a0-8afe-ba6f1af119c0,lmarkari@flemingcollege.ca_Fleming,(Picea mariana),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,2,trim,40,2,1,0.0382,,11/1/2023 9:41:47 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:28:03 PM,aherstek@flemingcollege.ca_Fleming,-73.6262974588019,45.5365649592494
90,42576014-ba46-4f3e-a679-92e1f01988ec,lmarkari@flemingcollege.ca_Fleming,(Quercus macrocarpa),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,2,trim,20,21,3,0.2228,0.7,11/1/2023 9:47:17 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:27:34 PM,aherstek@flemingcollege.ca_Fleming,-73.6263839546574,45.5359794755643
91,d4a52262-f597-4a8a-b569-8831a055aadb,lmarkari@flemingcollege.ca_Fleming,(Quercus palustris),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,10,24,8,0.5029,,11/1/2023 9:52:15 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:27:17 PM,aherstek@flemingcollege.ca_Fleming,-73.626357988085,45.5356609744516
92,08c10c8f-73c4-48f7-b017-db30199e4ce7,lmarkari@flemingcollege.ca_Fleming,(Acer saccharum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,16,5,0.2928,,11/1/2023 9:54:10 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:26:59 PM,aherstek@flemingcollege.ca_Fleming,-73.6264086755862,45.5353573458086
93,ac99893a-c1c4-48fb-8fe5-7c30c05b0f6d,lmarkari@flemingcollege.ca_Fleming,(Picea glauca),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,2,"good,trim",20,10,4,0.1082,,11/1/2023 9:57:09 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:26:47 PM,aherstek@flemingcollege.ca_Fleming,-73.6259083275979,45.5354998133207
94,79e558c7-fefc-47e3-b324-3186c25124d0,lmarkari@flemingcollege.ca_Fleming,(Larix lyallii),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,3,"trim,damage",60,9,3,0.1655,,11/1/2023 10:01:10 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:26:30 PM,aherstek@flemingcollege.ca_Fleming,-73.6258558769649,45.5355933609258
95,65bdeb54-46d1-4004-8c7a-99448a4872ef,lmarkari@flemingcollege.ca_Fleming,(Betula alleghaniensis),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,trim,20,12,5,0.1878,,11/1/2023 10:03:42 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:26:18 PM,aherstek@flemingcollege.ca_Fleming,-73.6257384849819,45.5358316232851
96,7d490625-af0f-44b5-af10-70db360b3a2e,rjaafar@flemingcollege.ca_Fleming,(Acer rubrum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,clr,0,15,11,0.4011,,11/4/2023 6:59:09 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:37:35 PM,aherstek@flemingcollege.ca_Fleming,-73.6782694811173,45.5315387661497
97,c52f1d52-f005-40e2-bbb1-520dd7180b14,rjaafar@flemingcollege.ca_Fleming,(Gleditsia triacanthos),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,2,good,10,12,4,0.3183,,11/4/2023 7:11:22 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:37:20 PM,aherstek@flemingcollege.ca_Fleming,-73.6779856198018,45.5314835906306
98,6eff3968-60c0-48c4-b8b5-c84eee521457,rjaafar@flemingcollege.ca_Fleming,(Celtis tenuifolia),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,3,concenr,20,15,8,0.3501,,11/4/2023 7:26:09 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:37:09 PM,aherstek@flemingcollege.ca_Fleming,-73.6777680746469,45.5311414378056
99,da0a45f5-84d5-46f1-8044-d8fbe2c9de21,rjaafar@flemingcollege.ca_Fleming,(Ginkgo biloba),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,1,,,3.5,1,0.0796,New tree,11/4/2023 7:26:10 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:36:53 PM,aherstek@flemingcollege.ca_Fleming,-73.6777357119113,45.5310709883853
100,40c812b9-6725-47e3-9256-f04a4db47894,rjaafar@flemingcollege.ca_Fleming,(Acer platanoides),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,2,,10,13,7,0.4456,,11/4/2023 7:33:22 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:36:40 PM,aherstek@flemingcollege.ca_Fleming,-73.6777025555694,45.5309892372867
101,f89a7b8c-5f15-4bac-93bf-4b6bfbc53ca6,rjaafar@flemingcollege.ca_Fleming,(Acer platanoides),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,1,,,14,12,0.3724,,11/4/2023 7:40:14 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:35:51 PM,aherstek@flemingcollege.ca_Fleming,0,0
102,136e7fe0-bc80-41e7-8f7f-8b2acdac7050,rjaafar@flemingcollege.ca_Fleming,(Picea pungens),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,1,"good,concenr",,19,2,0.3023,,11/4/2023 7:47:42 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:35:40 PM,aherstek@flemingcollege.ca_Fleming,-73.6772199119351,45.5306077271391
104,cef44a29-5ed3-41e2-a00e-2a12e91a8f79,rjaafar@flemingcollege.ca_Fleming,(Acer saccharum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,clr,10,21,12,0.6207,,11/4/2023 8:33:48 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:35:03 PM,aherstek@flemingcollege.ca_Fleming,-73.676836254546,45.5310293091822
105,f5728811-4481-459f-91ee-4f4378e8a305,rjaafar@flemingcollege.ca_Fleming,(Acer rubrum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,,,,10,0.748,,11/4/2023 8:44:04 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:34:53 PM,aherstek@flemingcollege.ca_Fleming,-73.6756426773234,45.530619476414
106,d9f9382b-3284-419d-a25b-43b1709c468a,rjaafar@flemingcollege.ca_Fleming,(Acer platanoides),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,4,"clr,con,evidence",10,18,11,0.4297,It has leafroll virus,11/4/2023 8:51:24 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:34:38 PM,aherstek@flemingcollege.ca_Fleming,-73.6755251426144,45.5302877497108
107,509f7782-288b-41ae-bf74-fa0feb192daf,rjaafar@flemingcollege.ca_Fleming,(Tilia americana),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,,,16,8,0.5411,,11/4/2023 9:03:08 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:34:21 PM,aherstek@flemingcollege.ca_Fleming,-73.6755043513466,45.5296521066005
108,761bff25-e2f3-41e5-94b0-aa5f61bedcf0,rjaafar@flemingcollege.ca_Fleming,(Ulmus americana),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,4,"con,concenr",40,3,1,0.0764,,11/4/2023 9:08:32 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:34:03 PM,aherstek@flemingcollege.ca_Fleming,0,0
109,a198e855-0ea8-404f-a7aa-0433a6b2c05c,rjaafar@flemingcollege.ca_Fleming,(Prunus virginiana var. virginiana),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,"evidence,concenr",,5,3,0.1114,,11/4/2023 9:14:05 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 5:13:39 PM,aherstek@flemingcollege.ca_Fleming,-73.6291166266701,45.5360821314278
111,1a0a1daa-57d2-49c3-ba09-446327f624cf,rjaafar@flemingcollege.ca_Fleming,(Prunus virginiana var. virginiana),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,3,"evidence,concenr",20,5,3,0.1114,,11/4/2023 9:23:11 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:33:24 PM,aherstek@flemingcollege.ca_Fleming,-73.6758732199955,45.5294899184171
112,770dbddc-64a0-4bbb-823e-2c2249c7c4b1,rjaafar@flemingcollege.ca_Fleming,(Tilia cordata),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,2,evidence,10,30,13,1.1141,,11/4/2023 9:31:15 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:32:10 PM,aherstek@flemingcollege.ca_Fleming,-73.6768521809581,45.528467959714
114,3e5d3dfb-0bda-487a-b331-8887658a78a2,rjaafar@flemingcollege.ca_Fleming,(Ulmus pumila),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,2,evidence,10,21,9,0.4615,,11/6/2023 8:51:13 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:25:37 PM,aherstek@flemingcollege.ca_Fleming,0,0
115,b911ede7-d345-4695-82e6-580666fd1e6d,rjaafar@flemingcollege.ca_Fleming,(Ulmus pumila),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,2,evidence,10,21,9,0.3183,,11/6/2023 9:12:54 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 4:23:17 PM,aherstek@flemingcollege.ca_Fleming,-73.6782686092121,45.5316982295826
116,cd609b92-8508-4747-8461-d7412f682e92,rjaafar@flemingcollege.ca_Fleming,(Gleditsia triacanthos),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,2,trim,10,15,8,0.35,,11/7/2023 5:49:30 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 5:49:30 PM,rjaafar@flemingcollege.ca_Fleming,-73.678704296197,45.5315798240992
117,ca3e8f77-e92b-4b5e-98a7-7163687139f1,rjaafar@flemingcollege.ca_Fleming,(Gleditsia triacanthos),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,0,22,17,0.54,,11/7/2023 6:01:49 PM,rjaafar@flemingcollege.ca_Fleming,11/7/2023 6:01:49 PM,rjaafar@flemingcollege.ca_Fleming,-73.6787090771115,45.5311625320373
