ObjectID,GlobalID,Collectername,Input Date and Time:,Latitude,Longitude,Elevation,accuracy,What is the name of Tree?,treetype,nativetype,Estimation of Deadwood Canopy:,Enter the height of Tree:,Measure Crown Spread of the Tree:,Rank the Health of the Tree:,Input Circumference:,Calculated Diameter at Breast Height (DBH):,Select relevant flag according the condtion of Tree:,Comment About Tree:,CreationDate,Creator
85,35df94ad-c87d-46d6-bc8e-256e2a678759,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:47:00 PM,44.33813,-78.73871,266.93,4.74,Colorado spruce,Coniferous,Introduced,0,4.50,2.60,No Concern,15,4.78,"Trimming_dead/broken_branches,Beautiful_example_of_species","Tree is planted in recognition of the 2021 spotlight award receipient 
",11/7/2023 9:02:14 PM,jpokar@flemingcollege.ca_Fleming
86,73299342-6e1f-4854-8b88-7491019453f3,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:49:00 PM,44.33823,-78.73862,265.67,4.73,European larch,Coniferous,Naturalized,0,5.12,2.30,No Concern,14,4.46,Beautiful_example_of_species,Near dead vegetation at Fleming ,11/7/2023 9:02:16 PM,jpokar@flemingcollege.ca_Fleming
87,784d7162-cff0-4d91-98e8-243271e71cfb,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:54:00 PM,44.33793,-78.73809,267.08,4.76,Eastern white pine,Coniferous,Native,0,6.90,4.50,Moderate concern,45,14.33,"Beautiful_example_of_species,Clear_branches_near_Structure(s),Concerned-To_be_reviewed_by_certified_arborist",Good condition but need to trim ,11/7/2023 9:02:17 PM,jpokar@flemingcollege.ca_Fleming
88,a464d342-90cc-453f-80d7-82bf0a60cfa7,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:57:00 PM,44.33789,-78.73811,266.14,4.75,Tamarack,Coniferous,Native,5,4.70,2.50,Concern,14,4.46,"Evidence_of_infestation,Trimming_dead/broken_branches,Clear_branches_near_Structure(s)",Beautiful yellow color ,11/7/2023 9:02:18 PM,jpokar@flemingcollege.ca_Fleming
89,a68d339b-12aa-454c-b95d-400ceeb04e59,jpokar@flemingcollege.ca_Fleming,11/7/2023 8:00:00 PM,44.33793,-78.73771,267.78,4.76,Sweetgum,Deciduous,Introduced,15,3.18,1.90,Moderate concern,9,2.87,"Evidence_of_infestation,Trimming_dead/broken_branches",Need to monitor ,11/7/2023 9:02:19 PM,jpokar@flemingcollege.ca_Fleming
90,88fe0971-1a4b-4d1f-ac4c-54fd8a347a03,jpokar@flemingcollege.ca_Fleming,11/7/2023 8:02:00 PM,44.33794,-78.73729,266.45,4.74,Horsechestnut,Deciduous,Naturalized,100,6.50,1.20,Hazardous,13,4.14,"Condition_to_be_monitored,Concerned-To_be_reviewed_by_certified_arborist",Dead tree,11/7/2023 9:02:20 PM,jpokar@flemingcollege.ca_Fleming
91,491bacd8-77a8-4980-9710-2a6c3e2b1f40,jpokar@flemingcollege.ca_Fleming,11/7/2023 8:07:00 PM,44.33873,-78.73723,267.77,4.75,Silver maple,Deciduous,Native,100,9.70,6.30,Hazardous,143,45.54,"Condition_to_be_monitored,Removal_recommended,Evidence_of_infestation,Trimming_dead/broken_branches",Near heavy equipment center Fleming ,11/7/2023 9:02:22 PM,jpokar@flemingcollege.ca_Fleming
92,c01e85bb-1cb6-4c05-85a9-3924cf0a3707,jpokar@flemingcollege.ca_Fleming,11/7/2023 8:16:00 PM,44.33998,-78.73831,265.56,4.74,Yellow birch,Deciduous,Native,70,6.40,3.50,Moderate concern,59,18.79,"Evidence_of_infestation,Trimming_dead/broken_branches",Branches infected ,11/7/2023 9:02:23 PM,jpokar@flemingcollege.ca_Fleming
93,8e3f3d65-0792-443d-a7e2-ad3f162a8839,jpokar@flemingcollege.ca_Fleming,11/7/2023 8:22:00 PM,44.34025,-78.73926,264.50,4.74,Chestnut oak,Deciduous,Introduced,40,5.73,4.90,Moderate concern,89,28.34,"Evidence_of_infestation,Trimming_dead/broken_branches,Clear_branches_near_Structure(s)",Branches are infested and some branches are almost dead ,11/7/2023 9:02:24 PM,jpokar@flemingcollege.ca_Fleming
94,f9831db3-9c5a-44d1-9384-dc1f047833ff,nishpraj@flemingcollege.ca_Fleming,11/6/2023 3:53:00 PM,44.34621,-78.73479,263.35,4.55,Norway maple,Deciduous,Naturalized,95,8.00,7.00,Concern,1.2,0.38,"Condition_to_be_monitored,Clear_branches_near_Structure(s)","Due to weather conditions, Tree leaves shredded.",11/7/2023 9:14:34 PM,nishpraj@flemingcollege.ca_Fleming
95,65d73455-00e4-48a3-9cc2-db3565e91569,nishpraj@flemingcollege.ca_Fleming,11/6/2023 4:49:00 PM,44.34026,-78.74149,267.14,4.54,Norway spruce,Coniferous,Introduced,5,10.63,9.60,No Concern,1.67,0.53,"Trimming_dead/broken_branches,Beautiful_example_of_species",Tree is in best condition.,11/7/2023 9:14:35 PM,nishpraj@flemingcollege.ca_Fleming
96,abd2c14c-1ecf-408a-967c-79d3913b6cdd,nishpraj@flemingcollege.ca_Fleming,11/6/2023 4:54:00 PM,44.34011,-78.74191,271.74,4.74,European larch,Coniferous,Naturalized,5,5.20,5.57,No Concern,0.8,0.25,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Beautiful_example_of_species",,11/7/2023 9:14:37 PM,nishpraj@flemingcollege.ca_Fleming
97,0e4d9c19-2919-4cc0-8cc0-7a68f2b66378,nishpraj@flemingcollege.ca_Fleming,11/6/2023 5:04:00 PM,44.34021,-78.74287,269.56,4.74,Red oak,Deciduous,Native,10,6.93,6.30,No Concern,0.33,0.11,"Condition_to_be_monitored,Beautiful_example_of_species",,11/7/2023 9:14:38 PM,nishpraj@flemingcollege.ca_Fleming
98,325aa6d6-8573-4682-ae52-0111da0aa964,nishpraj@flemingcollege.ca_Fleming,11/6/2023 5:12:00 PM,44.34000,-78.74414,268.30,3.42,Colorado spruce,Coniferous,Introduced,5,7.20,6.34,No Concern,0.78,0.25,"Beautiful_example_of_species,Trimming_dead/broken_branches",,11/7/2023 9:14:39 PM,nishpraj@flemingcollege.ca_Fleming
99,733729a6-3f0e-4d78-a935-bdaa24f524d6,nishpraj@flemingcollege.ca_Fleming,11/6/2023 9:27:00 PM,44.34490,-78.73012,257.35,4.76,Norway maple,Deciduous,Naturalized,75,10.40,9.30,Concern,1.43,0.46,"Condition_to_be_monitored,Trimming_dead/broken_branches,Clear_branches_near_Structure(s)",,11/7/2023 9:14:40 PM,nishpraj@flemingcollege.ca_Fleming
100,2b40c2df-cc29-4115-8ef9-90843092f9bb,nishpraj@flemingcollege.ca_Fleming,11/7/2023 7:18:00 PM,44.33983,-78.73945,268.95,4.70,Balsam fir,Coniferous,Native,5,5.27,2.36,No Concern,0.28,0.09,"Trimming_dead/broken_branches,Beautiful_example_of_species",The tree is in its growing stage and rhe condition is best,11/7/2023 9:14:41 PM,nishpraj@flemingcollege.ca_Fleming
101,4f087ece-b4fe-4b2f-869a-7e2ddb243d30,nishpraj@flemingcollege.ca_Fleming,11/7/2023 7:27:00 PM,44.33886,-78.73878,266.67,4.73,White spruce,Coniferous,Native,10,9.00,8.50,No Concern,1.1,0.35,Beautiful_example_of_species,The tree is in best condition ,11/7/2023 9:14:42 PM,nishpraj@flemingcollege.ca_Fleming
102,0ef42bfc-e015-4409-aeec-a2a50312fe22,nishpraj@flemingcollege.ca_Fleming,11/7/2023 7:42:00 PM,44.33887,-78.73694,263.99,4.69,Colorado spruce,Coniferous,Introduced,20,7.80,5.20,Concern,1,0.32,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Evidence_of_infestation",,11/7/2023 9:14:43 PM,nishpraj@flemingcollege.ca_Fleming
103,9d22f03f-1b49-4bc3-9588-84c09d38e0d5,nishpraj@flemingcollege.ca_Fleming,11/7/2023 7:47:00 PM,44.33918,-78.73656,265.22,4.74,Sugar maple,Deciduous,Native,80,9.10,9.50,Moderate concern,1.3,0.41,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",,11/7/2023 9:14:44 PM,nishpraj@flemingcollege.ca_Fleming
104,e493da5a-8d45-44a2-b2a0-12b58a06f977,nishpraj@flemingcollege.ca_Fleming,11/7/2023 7:55:00 PM,44.33779,-78.73802,264.09,4.73,Eastern white-cedar,Coniferous,Native,5,7.75,6.50,Moderate concern,0.74,0.24,"Evidence_of_infestation,Trimming_dead/broken_branches",,11/7/2023 9:14:45 PM,nishpraj@flemingcollege.ca_Fleming
105,ed3444a4-c6c5-4446-9ef7-3e81138f9a30,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:01:00 PM,44.33787,-78.73750,264.83,4.74,Black-gum,Deciduous,Native,100,2.80,1.79,No Concern,0.18,0.06,"Condition_to_be_monitored,Trimming_dead/broken_branches",,11/7/2023 9:14:46 PM,nishpraj@flemingcollege.ca_Fleming
106,1dcebc1c-ba82-4123-bf39-1969d52b4086,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:11:00 PM,44.33938,-78.73625,266.40,4.74,Norway maple,Deciduous,Naturalized,80,6.80,3.00,Moderate concern,0.2,0.06,"Condition_to_be_monitored,Trimming_dead/broken_branches",,11/7/2023 9:14:47 PM,nishpraj@flemingcollege.ca_Fleming
107,bf18736e-a146-47e8-a382-96afe8f3dc55,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:17:00 PM,44.33991,-78.73823,267.32,4.74,Mountain paper birch,Deciduous,Native,50,5.50,1.50,Moderate concern,0.2,0.06,Condition_to_be_monitored,Tree is not in best condition ,11/7/2023 9:14:49 PM,nishpraj@flemingcollege.ca_Fleming
108,78a33a5b-21d1-4b85-89ed-4c2c45e6dbdc,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:24:00 PM,44.34066,-78.73946,267.89,4.74,Eastern white pine,Coniferous,Native,10,11.00,9.00,No Concern,1.2,0.38,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Beautiful_example_of_species",Broken twigs and branches,11/7/2023 9:14:50 PM,nishpraj@flemingcollege.ca_Fleming
109,4937db28-8958-4c98-931a-9285e04d1153,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:28:00 PM,44.34165,-78.73981,266.92,4.74,Red oak,Deciduous,Native,90,9.00,5.00,Moderate concern,1.4,0.45,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",,11/7/2023 9:14:51 PM,nishpraj@flemingcollege.ca_Fleming
110,1658b079-67eb-4b6d-8bd6-2f9f16a684ce,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:31:00 PM,44.34186,-78.73967,269.48,4.74,Norway maple,Deciduous,Naturalized,,8.60,4.70,Concern,0.7,0.22,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",,11/7/2023 9:14:52 PM,nishpraj@flemingcollege.ca_Fleming
111,6ccb3884-e0a3-4188-87c0-9f5b33c221f1,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:33:00 PM,44.34182,-78.73967,268.20,4.74,White spruce,Coniferous,Native,10,12.00,7.00,No Concern,1,0.32,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",,11/7/2023 9:14:53 PM,nishpraj@flemingcollege.ca_Fleming
112,83f56d26-83e1-45e8-ad77-66ffa53853a4,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:36:00 PM,44.34201,-78.74040,267.22,4.74,Red pine,Coniferous,Native,15,12.40,5.00,Concern,1.2,0.38,"Condition_to_be_monitored,Trimming_dead/broken_branches",,11/7/2023 9:14:55 PM,nishpraj@flemingcollege.ca_Fleming
113,0e7106dc-c2a0-4fd9-9f1e-6db98ef328b7,nishpraj@flemingcollege.ca_Fleming,11/7/2023 8:40:00 PM,44.34154,-78.74132,267.83,4.74,Yellow birch,Deciduous,Native,50,4.00,4.00,Moderate concern,0.8,0.25,Condition_to_be_monitored,,11/7/2023 9:14:56 PM,nishpraj@flemingcollege.ca_Fleming
