ObjectID,GlobalID,Elevation,horizontalAccuracy,verticalAccuracy,Select the name of the tree.,class,orign,Please select the health condition of the tree.,Enter estimated percentage of dead wood.,Enter height of the tree.,Enter width of the Canopy.,Measured Circumferance,Diameter,Are there number of items from these possible flags?,Write comment if you have any.,Data Collection Date,CreationDate,Creator,EditDate,Editor,x,y
82,ddbffbd8-8310-448e-99b8-823e0dbb1a2d,267.27,8.0012,3,english-oak,Deciduous,Naturalized,1,0,12,6,0.85,0.27,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:31 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:31 PM,rdulal@flemingcollege.ca_Fleming,-78.7408481584235,44.3398225501687
83,f701767d-5239-4b7e-ae5e-e585973f754e,267.27,6.0009,3,european-larch,Conifer,Naturalized,1,0,9,4.5,0.6,0.19,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:33 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:33 PM,rdulal@flemingcollege.ca_Fleming,-78.7418866719701,44.340003613887
84,a6bb4ed8-2e63-4625-a6c1-0ddf16c02b0f,266.9543,8.0012,3,eastern-white-pine,Conifer,Native,1,0,8,4,0.7,0.22,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:35 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:35 PM,rdulal@flemingcollege.ca_Fleming,-78.7423895938442,44.3401321670913
85,535a7f5b-bd47-4578-b2b0-2593ac55f6ab,266.4999,8.0012,3,red-oak,Deciduous,Native,1,0,9,5,0.4,0.13,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:36 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:36 PM,rdulal@flemingcollege.ca_Fleming,-78.7429356813572,44.3403339945681
86,34bf9382-358d-4fdf-80c2-99396cc55173,268.4156,6.0009,3,colorado-spruce,Conifer,Introduced,1,0,12,5,0.7,0.22,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:37 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:37 PM,rdulal@flemingcollege.ca_Fleming,-78.7441828738364,44.3399617985991
87,575eaf69-3474-40a7-afdd-d44f0e93b306,269.5554,6.0009,3,white-spruce,Conifer,Native,1,0,15,3,0.8,0.25,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:38 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:38 PM,rdulal@flemingcollege.ca_Fleming,-78.7449902490111,44.3396429055227
88,7aece963-ee06-4be9-9b58-0acb9ac5fe62,273.8307,8.0012,3,common-lilac,Deciduous,Naturalized,1,10,2.5,5,3,0.95,trimming-dead/broken-branches,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:39 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:39 PM,rdulal@flemingcollege.ca_Fleming,-78.7468762207846,44.3424439360081
89,22bffec8-aa82-468c-a75e-1c5336ae2ce7,274.2363,6.0009,3,rock-elm,Deciduous,Native,1,0,3,4,0.8,0.25,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:40 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:40 PM,rdulal@flemingcollege.ca_Fleming,-78.7471687511662,44.3428259340357
90,a64bff6f-4344-440a-89d7-fb134f5cfcb2,273.5593,8.0012,3,norway-maple,Deciduous,Naturalized,1,0,9,6,0.6,0.19,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:41 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:41 PM,rdulal@flemingcollege.ca_Fleming,-78.7469885432714,44.3430174280238
91,9edb12d0-6456-4c20-805b-ab929b1c9101,273.5183,8.0012,3,common-smoke-tree,Deciduous,Introduced,1,0,2,2,0.1,0.03,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:42 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:42 PM,rdulal@flemingcollege.ca_Fleming,-78.7470184066786,44.3430467280694
92,a950c0a4-946d-4fd6-9f4c-18b478bb5138,273.27,8.0012,3,smooth-sumac,Deciduous,Native,1,0,1.7,1,0.05,0.02,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:44 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:44 PM,rdulal@flemingcollege.ca_Fleming,-78.7468098300972,44.3431974477676
93,0fb06192-8f70-42c9-9fb4-afe33beaf30a,273.27,8.0012,3,eastern-white-cedar,Conifer,Native,1,0,3,2,0.4,0.13,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:45 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:45 PM,rdulal@flemingcollege.ca_Fleming,-78.7466462065474,44.3432385009646
94,3c4f25fd-7822-4308-a91d-ee5224d43a1a,262.1206,16.0024,3,wild-crab-apple,Deciduous,Native,1,0,1.5,0.7,0.04,0.01,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:45 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:45 PM,rdulal@flemingcollege.ca_Fleming,-78.7382938477713,44.3456736437868
95,7a0604a8-b244-41e5-8b4e-59f32a61340b,262.27,16.0024,3,heartleaf-willow,Deciduous,Native,1,0,2,1.3,0.06,0.02,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:47 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:47 PM,rdulal@flemingcollege.ca_Fleming,-78.7387379336815,44.3456074017924
96,5d0e52da-62e6-4595-aa52-0980caa7648d,262.2649,8.0012,3,peachleaf-willow,Deciduous,Native,1,0,1.5,1,0.07,0.02,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:48 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:48 PM,rdulal@flemingcollege.ca_Fleming,-78.7388725071307,44.3455356783411
97,dc901ba5-77c2-4c6e-be73-b2fda05ded5c,262.27,6.0009,3,japanese-maple,Deciduous,Introduced,1,0,0.8,0.5,0.06,0.02,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:50 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:50 PM,rdulal@flemingcollege.ca_Fleming,-78.7388624035476,44.3456223890769
98,88f7b964-8241-41d9-8f01-117671ad17e3,270.7885,8.0012,3,norway-maple,Deciduous,Naturalized,1,1,20,8,0.9,0.29,trimming-dead/broken-branches,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:51 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:51 PM,rdulal@flemingcollege.ca_Fleming,-78.7412526367274,44.342640729314
99,353c9969-9504-4f66-8924-cbddead7f476,270.2837,16.0024,3,red-maple,Deciduous,Native,1,0,1.7,0.4,0.06,0.02,beautiful-example-of-species,YoungTree,11/6/2023 5:00:00 PM,11/6/2023 5:16:52 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:52 PM,rdulal@flemingcollege.ca_Fleming,-78.7410193867296,44.3428602361427
100,f08e522d-1b82-4f19-b2d4-baf55fbc9ced,270.9455,8.0012,3,red-spruce,Conifer,Native,1,0,12,4,0.3,0.1,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:54 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:54 PM,rdulal@flemingcollege.ca_Fleming,-78.7407729146118,44.3427655853949
101,9dd5f0ae-f778-4695-aea7-4657a2b05e78,242.8699,3,,wayfaring-viburnum,Deciduous,Naturalized,1,0,2,2,0.2,0.06,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:16:58 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:16:58 PM,kduwadi@flemingcollege.ca_Fleming,-78.740823280631,44.3428250877276
102,97035c19-b2e5-4967-814e-7ab190e6d569,243.408,3,,norway-maple,Deciduous,Naturalized,1,0,15,7,0.4,0.13,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:19:18 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:19:18 PM,kduwadi@flemingcollege.ca_Fleming,-78.7406653652403,44.3427846827191
103,012789c4-2bbe-49ef-8f8d-5fdc652fbae9,243.848,2,,common-apple,Deciduous,Naturalized,1,10,3,5,0.4,0.13,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:22:47 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:22:47 PM,kduwadi@flemingcollege.ca_Fleming,-78.7399061049348,44.3427196568953
104,1c16b9e6-9718-4b28-9b35-b4b6af25579b,244.5322,3,,amur-maple,Deciduous,Introduced,1,5,2.5,2.5,0.2,0.06,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:24:59 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:24:59 PM,kduwadi@flemingcollege.ca_Fleming,-78.7397820464517,44.3426011815164
105,11eb2d38-d57f-443e-abba-8f34132acdc6,246.065,3,,red-spruce,Conifer,Native,1,5,14,7,0.9,0.29,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:28:52 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:28:52 PM,kduwadi@flemingcollege.ca_Fleming,-78.7401881434385,44.3424155153177
106,0aaca38d-f3f3-432f-9d70-b55dffdd8aec,247.118,3,,european-buckthorn,Deciduous,Naturalized,1,0,2,4,0.15,0.05,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:31:29 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:31:29 PM,kduwadi@flemingcollege.ca_Fleming,-78.7407880739455,44.3425260784747
107,c7140120-3196-465b-937c-58232b41f66f,288.5266,32,,red-pine,Conifer,Native,1,0,15,10,1,0.32,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:34:26 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:34:26 PM,kduwadi@flemingcollege.ca_Fleming,-78.7405495360696,44.3424882339673
108,452cbc73-d1f7-4efd-a048-21c66fffa746,247.3475,3,,wild-crab-apple,Deciduous,Native,1,0,7,8,0.9,0.29,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:38:31 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:38:31 PM,kduwadi@flemingcollege.ca_Fleming,-78.7415566332958,44.341556525141
109,f03a113b-986a-46c6-b5b3-c705027eced6,248.3575,3,,rock-elm,Deciduous,Native,1,0,2,6,0.8,0.25,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:39:19 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:39:19 PM,kduwadi@flemingcollege.ca_Fleming,-78.7414458564859,44.3415675368796
110,13e0ddc8-5401-4641-b74f-525e876ee917,249.2975,2,,common-lilac,Deciduous,Naturalized,1,0,1,1,0.1,0.03,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:41:30 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:41:30 PM,kduwadi@flemingcollege.ca_Fleming,-78.7420871664726,44.3411280804217
